Reference, Value, Footprint, Datasheet, Characteristics, Description , MFN, MFP, Package ID, Source, Source Part , Source Price, Source Link, Notes, Description, Source , Source Part, Notes , Source Link 
"R10","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R24","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R21","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R18","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R13","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R12","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R9","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R5","20 k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/pr010203-239785.pdf","1 W","Resistores de película de metal - a través del orificio 1watt 20Kohms 5%","Vishay / BC Components","PR01000102002JR500","0","Mouser","594-5073NW20K00J","0,153 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/PR01000102002JR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvcXCTzMTkq0Y%3d","Value","","","","",""
"R25","20 k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/pr010203-239785.pdf","1 W","Resistores de película de metal - a través del orificio 1watt 20Kohms 5%","Vishay / BC Components","PR01000102002JR500","0","Mouser","594-5073NW20K00J","0,153 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/PR01000102002JR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvcXCTzMTkq0Y%3d","Value","","","","",""
"R15","6.04 k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/mrs16m25-239694.pdf","600 mW","Resistores de película fina - a través del orificio .6watt 6.04Kohms 1%","Vishay / BC Components","MRS25000C6041FRP00","0","Mouser","594-MRS25000C6041FRP","0,255 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/MRS25000C6041FRP00/?qs=sGAEpiMZZMtlubZbdhIBILNXVGfLCPaRYdNVVAtbqyQ%3d","Value","","","","",""
"R17","82.5 k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/sfr16s25-239894.pdf","500 mW","Resistores de película de metal - a través del orificio 1/2W 82.5Kohms 1% SFR25H series","Vishay/BC Components","SFR25H0008252FR500","0","Mouser","594-5053HD82K50F","0,145 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/SFR25H0008252FR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvBInqeF77j3k%3d","Value","","","","",""
